Date,price_Yes_nuclear,price_Yes,price_No
2025-07-13 00:00:00+00:00,0.07,0.07,0.9299999999999999
2025-07-14 00:00:00+00:00,0.06,0.06,0.94
2025-07-15 00:00:00+00:00,0.07,0.07,0.9299999999999999
2025-07-16 00:00:00+00:00,0.08,0.08,0.92
2025-07-17 00:00:00+00:00,0.08,0.08,0.92
2025-07-18 00:00:00+00:00,0.07,0.07,0.9299999999999999
2025-07-19 00:00:00+00:00,0.07,0.07,0.9299999999999999
2025-07-20 00:00:00+00:00,0.08,0.08,0.92
2025-07-21 00:00:00+00:00,0.09,0.09,0.91
2025-07-22 00:00:00+00:00,0.08,0.08,0.92
2025-07-23 00:00:00+00:00,0.07,0.07,0.9299999999999999
2025-07-24 00:00:00+00:00,0.08,0.08,0.92
2025-07-25 00:00:00+00:00,0.08,0.08,0.92
2025-07-26 00:00:00+00:00,0.08,0.08,0.92
2025-07-27 00:00:00+00:00,0.08,0.08,0.92
2025-07-28 00:00:00+00:00,0.08,0.08,0.92
2025-07-29 00:00:00+00:00,0.09,0.09,0.91
2025-07-30 00:00:00+00:00,0.08,0.08,0.92
2025-07-31 00:00:00+00:00,0.09,0.09,0.91
2025-08-01 00:00:00+00:00,0.09,0.09,0.91
2025-08-02 00:00:00+00:00,0.09,0.09,0.91
2025-08-03 00:00:00+00:00,0.09,0.09,0.91
2025-08-04 00:00:00+00:00,0.08,0.08,0.92
2025-08-05 00:00:00+00:00,0.08,0.08,0.92
2025-08-06 00:00:00+00:00,0.08,0.08,0.92
2025-08-07 00:00:00+00:00,0.1,0.1,0.9
2025-08-08 00:00:00+00:00,0.08,0.08,0.92
2025-08-09 00:00:00+00:00,0.09,0.09,0.91
2025-08-10 00:00:00+00:00,0.1,0.1,0.9
2025-08-11 00:00:00+00:00,0.08,0.08,0.92
2025-08-12 00:00:00+00:00,0.09,0.09,0.91
2025-08-13 00:00:00+00:00,0.07,0.07,0.9299999999999999
2025-08-14 00:00:00+00:00,0.08,0.08,0.92
2025-08-15 00:00:00+00:00,0.06,0.06,0.94
2025-08-16 00:00:00+00:00,0.06,0.06,0.94
2025-08-17 00:00:00+00:00,0.07,0.07,0.9299999999999999
2025-08-18 00:00:00+00:00,0.08,0.08,0.92
2025-08-19 00:00:00+00:00,0.07,0.07,0.9299999999999999
2025-08-20 00:00:00+00:00,0.07,0.07,0.9299999999999999
2025-08-21 00:00:00+00:00,0.08,0.08,0.92
2025-08-22 00:00:00+00:00,0.07,0.07,0.9299999999999999
2025-08-23 00:00:00+00:00,0.08,0.08,0.92
2025-08-24 00:00:00+00:00,0.07,0.07,0.9299999999999999
2025-08-25 00:00:00+00:00,0.08,0.08,0.92
2025-08-26 00:00:00+00:00,0.06,0.06,0.94
2025-08-27 00:00:00+00:00,0.07,0.07,0.9299999999999999
2025-08-28 00:00:00+00:00,0.09,0.09,0.91
2025-08-29 00:00:00+00:00,0.07,0.07,0.9299999999999999
2025-08-30 00:00:00+00:00,0.09,0.09,0.91
2025-08-31 00:00:00+00:00,0.09,0.09,0.91
2025-09-01 00:00:00+00:00,0.07,0.07,0.9299999999999999
2025-09-02 00:00:00+00:00,0.07,0.07,0.9299999999999999
2025-09-03 00:00:00+00:00,0.1,0.1,0.9
2025-09-04 00:00:00+00:00,0.07,0.07,0.9299999999999999
2025-09-05 00:00:00+00:00,0.07,0.07,0.9299999999999999
2025-09-06 00:00:00+00:00,0.07,0.07,0.9299999999999999
2025-09-07 00:00:00+00:00,0.05,0.05,0.95
2025-09-08 00:00:00+00:00,0.05,0.05,0.95
2025-09-09 00:00:00+00:00,0.07,0.07,0.9299999999999999
2025-09-10 00:00:00+00:00,0.08,0.08,0.92
2025-09-11 00:00:00+00:00,0.08,0.08,0.92
2025-09-12 00:00:00+00:00,0.08,0.08,0.92
2025-09-13 00:00:00+00:00,0.07,0.07,0.9299999999999999
2025-09-14 00:00:00+00:00,0.06,0.06,0.94
2025-09-15 00:00:00+00:00,0.05,0.05,0.95
2025-09-16 00:00:00+00:00,0.09,0.09,0.91
2025-09-17 00:00:00+00:00,0.069,0.069,0.931
2025-09-18 00:00:00+00:00,0.08,0.08,0.92
2025-09-19 00:00:00+00:00,0.06,0.06,0.94
2025-09-20 00:00:00+00:00,0.06,0.06,0.94
2025-09-21 00:00:00+00:00,0.05,0.05,0.95
2025-09-22 00:00:00+00:00,0.06,0.06,0.94
2025-09-23 00:00:00+00:00,0.05,0.05,0.95
2025-09-24 00:00:00+00:00,0.05,0.05,0.95
2025-09-25 00:00:00+00:00,0.07,0.07,0.9299999999999999
2025-09-26 00:00:00+00:00,0.05,0.05,0.95
2025-09-27 00:00:00+00:00,0.07,0.07,0.9299999999999999
2025-09-28 00:00:00+00:00,0.06,0.06,0.94
2025-09-29 00:00:00+00:00,0.06,0.06,0.94
2025-09-30 00:00:00+00:00,0.08,0.08,0.92
