"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2025 23:45:00 - 02/01/2025 00:00:00","BZN|BE","Without Sequence","25.49","",""
"02/01/2025 00:00:00 - 02/01/2025 00:15:00","BZN|BE","Without Sequence","46.42","",""
"02/01/2025 00:15:00 - 02/01/2025 00:30:00","BZN|BE","Without Sequence","46.42","",""
"02/01/2025 00:30:00 - 02/01/2025 00:45:00","BZN|BE","Without Sequence","46.42","",""
"02/01/2025 00:45:00 - 02/01/2025 01:00:00","BZN|BE","Without Sequence","46.42","",""
"02/01/2025 01:00:00 - 02/01/2025 01:15:00","BZN|BE","Without Sequence","61.27","",""
"02/01/2025 01:15:00 - 02/01/2025 01:30:00","BZN|BE","Without Sequence","61.27","",""
"02/01/2025 01:30:00 - 02/01/2025 01:45:00","BZN|BE","Without Sequence","61.27","",""
"02/01/2025 01:45:00 - 02/01/2025 02:00:00","BZN|BE","Without Sequence","61.27","",""
"02/01/2025 02:00:00 - 02/01/2025 02:15:00","BZN|BE","Without Sequence","62.37","",""
"02/01/2025 02:15:00 - 02/01/2025 02:30:00","BZN|BE","Without Sequence","62.37","",""
"02/01/2025 02:30:00 - 02/01/2025 02:45:00","BZN|BE","Without Sequence","62.37","",""
"02/01/2025 02:45:00 - 02/01/2025 03:00:00","BZN|BE","Without Sequence","62.37","",""
"02/01/2025 03:00:00 - 02/01/2025 03:15:00","BZN|BE","Without Sequence","59.83","",""
"02/01/2025 03:15:00 - 02/01/2025 03:30:00","BZN|BE","Without Sequence","59.83","",""
"02/01/2025 03:30:00 - 02/01/2025 03:45:00","BZN|BE","Without Sequence","59.83","",""
"02/01/2025 03:45:00 - 02/01/2025 04:00:00","BZN|BE","Without Sequence","59.83","",""
"02/01/2025 04:00:00 - 02/01/2025 04:15:00","BZN|BE","Without Sequence","52.61","",""
"02/01/2025 04:15:00 - 02/01/2025 04:30:00","BZN|BE","Without Sequence","52.61","",""
"02/01/2025 04:30:00 - 02/01/2025 04:45:00","BZN|BE","Without Sequence","52.61","",""
"02/01/2025 04:45:00 - 02/01/2025 05:00:00","BZN|BE","Without Sequence","52.61","",""
"02/01/2025 05:00:00 - 02/01/2025 05:15:00","BZN|BE","Without Sequence","61.63","",""
"02/01/2025 05:15:00 - 02/01/2025 05:30:00","BZN|BE","Without Sequence","61.63","",""
"02/01/2025 05:30:00 - 02/01/2025 05:45:00","BZN|BE","Without Sequence","61.63","",""
"02/01/2025 05:45:00 - 02/01/2025 06:00:00","BZN|BE","Without Sequence","61.63","",""
"02/01/2025 06:00:00 - 02/01/2025 06:15:00","BZN|BE","Without Sequence","103.55","",""
"02/01/2025 06:15:00 - 02/01/2025 06:30:00","BZN|BE","Without Sequence","103.55","",""
"02/01/2025 06:30:00 - 02/01/2025 06:45:00","BZN|BE","Without Sequence","103.55","",""
"02/01/2025 06:45:00 - 02/01/2025 07:00:00","BZN|BE","Without Sequence","103.55","",""
"02/01/2025 07:00:00 - 02/01/2025 07:15:00","BZN|BE","Without Sequence","129.62","",""
"02/01/2025 07:15:00 - 02/01/2025 07:30:00","BZN|BE","Without Sequence","129.62","",""
"02/01/2025 07:30:00 - 02/01/2025 07:45:00","BZN|BE","Without Sequence","129.62","",""
"02/01/2025 07:45:00 - 02/01/2025 08:00:00","BZN|BE","Without Sequence","129.62","",""
"02/01/2025 08:00:00 - 02/01/2025 08:15:00","BZN|BE","Without Sequence","142.71","",""
"02/01/2025 08:15:00 - 02/01/2025 08:30:00","BZN|BE","Without Sequence","142.71","",""
"02/01/2025 08:30:00 - 02/01/2025 08:45:00","BZN|BE","Without Sequence","142.71","",""
"02/01/2025 08:45:00 - 02/01/2025 09:00:00","BZN|BE","Without Sequence","142.71","",""
"02/01/2025 09:00:00 - 02/01/2025 09:15:00","BZN|BE","Without Sequence","141.40","",""
"02/01/2025 09:15:00 - 02/01/2025 09:30:00","BZN|BE","Without Sequence","141.40","",""
"02/01/2025 09:30:00 - 02/01/2025 09:45:00","BZN|BE","Without Sequence","141.40","",""
"02/01/2025 09:45:00 - 02/01/2025 10:00:00","BZN|BE","Without Sequence","141.40","",""
"02/01/2025 10:00:00 - 02/01/2025 10:15:00","BZN|BE","Without Sequence","130.25","",""
"02/01/2025 10:15:00 - 02/01/2025 10:30:00","BZN|BE","Without Sequence","130.25","",""
"02/01/2025 10:30:00 - 02/01/2025 10:45:00","BZN|BE","Without Sequence","130.25","",""
"02/01/2025 10:45:00 - 02/01/2025 11:00:00","BZN|BE","Without Sequence","130.25","",""
"02/01/2025 11:00:00 - 02/01/2025 11:15:00","BZN|BE","Without Sequence","130.60","",""
"02/01/2025 11:15:00 - 02/01/2025 11:30:00","BZN|BE","Without Sequence","130.60","",""
"02/01/2025 11:30:00 - 02/01/2025 11:45:00","BZN|BE","Without Sequence","130.60","",""
"02/01/2025 11:45:00 - 02/01/2025 12:00:00","BZN|BE","Without Sequence","130.60","",""
"02/01/2025 12:00:00 - 02/01/2025 12:15:00","BZN|BE","Without Sequence","133.89","",""
"02/01/2025 12:15:00 - 02/01/2025 12:30:00","BZN|BE","Without Sequence","133.89","",""
"02/01/2025 12:30:00 - 02/01/2025 12:45:00","BZN|BE","Without Sequence","133.89","",""
"02/01/2025 12:45:00 - 02/01/2025 13:00:00","BZN|BE","Without Sequence","133.89","",""
"02/01/2025 13:00:00 - 02/01/2025 13:15:00","BZN|BE","Without Sequence","124.11","",""
"02/01/2025 13:15:00 - 02/01/2025 13:30:00","BZN|BE","Without Sequence","124.11","",""
"02/01/2025 13:30:00 - 02/01/2025 13:45:00","BZN|BE","Without Sequence","124.11","",""
"02/01/2025 13:45:00 - 02/01/2025 14:00:00","BZN|BE","Without Sequence","124.11","",""
"02/01/2025 14:00:00 - 02/01/2025 14:15:00","BZN|BE","Without Sequence","126.45","",""
"02/01/2025 14:15:00 - 02/01/2025 14:30:00","BZN|BE","Without Sequence","126.45","",""
"02/01/2025 14:30:00 - 02/01/2025 14:45:00","BZN|BE","Without Sequence","126.45","",""
"02/01/2025 14:45:00 - 02/01/2025 15:00:00","BZN|BE","Without Sequence","126.45","",""
"02/01/2025 15:00:00 - 02/01/2025 15:15:00","BZN|BE","Without Sequence","130.11","",""
