timestamp,price_No,price_Yes,price_Yes_nuclear,Country Hourly - Belgium,BE Temp (C),BE Precipitation (mm),BE Wind Speed (km/h),pct_BE_actual_load,pct_BE_forecast_load,pct_BE_forecast_vs_actual_load
2025-03-26 00:00:00+00:00,0.834,0.166,0.166,111.38708333333334,8.727083,0.3,8.976419,5.4500330306850975,-0.39204671242004663,1.9650089342960309
2025-03-27 00:00:00+00:00,0.832,0.168,0.168,95.05791666666666,8.302083,0.0,2.0570614,3.3456104009413234,-1.2145550462691501,-2.5342369336489035
2025-03-28 00:00:00+00:00,0.83,0.17,0.17,85.28416666666666,7.754167,6.2000003,9.543341,-1.8494172957958521,-3.1228942868182563,-3.79882857699656
2025-03-29 00:00:00+00:00,0.84,0.16,0.16,73.0425,8.0875,0.0,10.2684765,-10.688480707847681,-5.801216434632906,1.4654481015703436
2025-03-30 00:00:00+00:00,0.8366666666666667,0.16333333333333333,0.16333333333333333,,,,,,,
2025-03-31 00:00:00+00:00,0.8333333333333333,0.16666666666666669,0.16666666666666669,94.51125,8.4,0.0,9.772525,7.058476230345412,9.605933058118588,5.304946260730148
2025-04-01 00:00:00+00:00,0.83,0.17,0.17,77.54625,8.316667,0.0,14.466287,5.535301239427204,-0.3735856031145346,-0.5910430822379742
2025-04-02 00:00:00+00:00,0.835,0.165,0.165,48.989583333333336,11.33125,0.0,17.877539,1.4477702334899867,-2.489449678012312,-4.44913600687753
2025-04-03 00:00:00+00:00,0.84,0.16,0.16,73.34750000000001,14.212501,0.0,12.817401,-1.759122742921937,0.7231214362175109,-2.0348601720026616
2025-04-04 00:00:00+00:00,0.8375,0.1625,0.1625,79.27749999999999,15.854167,0.0,10.623858,0.15693960307794352,0.5457031509469745,-1.6546041909598297
2025-04-05 00:00:00+00:00,0.835,0.165,0.165,47.44083333333333,13.577084,0.0,13.776725,-8.531940362844292,-7.2717417105435445,-0.299653230480601
2025-04-06 00:00:00+00:00,0.8325,0.1675,0.1675,35.96333333333333,9.775,0.0,14.477623,-1.608124783798326,-4.161079697380865,-2.8865588018180066
2025-04-07 00:00:00+00:00,0.83,0.17,0.17,89.05458333333333,8.693749,0.0,9.5299635,14.71216304130889,12.651059146696975,-4.631455651166572
2025-04-08 00:00:00+00:00,0.84,0.16,0.16,86.61,11.102082,0.0,8.181616,-1.0299897227690535,3.961890510120103,0.17877272044630743
2025-04-09 00:00:00+00:00,0.83,0.17,0.17,76.30375,9.560416,0.0,10.302762,1.001213188951433,0.7902414468089258,-0.030481104723012464
2025-04-10 00:00:00+00:00,0.83,0.17,0.17,79.36166666666666,9.291667,0.0,9.072636,1.675166164966968,0.17073652218764224,-1.5096732543224856
2025-04-11 00:00:00+00:00,0.83,0.17,0.17,74.55458333333333,11.202083,0.0,5.3032775,-2.3131481789961272,-0.19882698324014125,0.6220382455719653
2025-04-12 00:00:00+00:00,0.84,0.16,0.16,50.0225,16.308332,0.0,12.610958,-11.847154076531707,-9.476656929762173,3.3278414679698276
2025-04-13 00:00:00+00:00,0.84,0.16,0.16,37.90833333333333,13.627083,2.4,15.045777,-4.015899476175866,-5.804110780831573,1.4028141645902048
2025-04-14 00:00:00+00:00,0.84,0.16,0.16,87.10416666666667,13.297917,0.1,7.786015,2.188519510560649,11.67635771595188,10.817702441404498
2025-04-15 00:00:00+00:00,0.84,0.16,0.16,71.7475,15.072914,0.1,13.788728,6.3682487633623275,3.497122115057083,7.826474680465068
2025-04-16 00:00:00+00:00,0.84,0.16,0.16,82.88416666666667,10.777083,0.0,9.1482315,8.63388075637852,0.4640181346363237,-0.28266658368365505
2025-04-17 00:00:00+00:00,0.85,0.15,0.15,97.53916666666667,9.679167,0.8,4.3380036,3.0675167603285036,0.24901143829996197,-3.0095571091043993
2025-04-18 00:00:00+00:00,0.85,0.15,0.15,86.99041666666666,11.020835,0.0,7.158437,-3.949552705594195,-1.7846877550484086,-0.8235057551859049
2025-04-19 00:00:00+00:00,0.85,0.15,0.15,61.74208333333333,12.039584,0.0,12.0526905,-12.346718882601293,-10.000214311837151,1.831478679978904
2025-04-20 00:00:00+00:00,0.85,0.15,0.15,74.84125,11.849999,2.5,6.98813,-4.113108437278035,-4.601305408044021,1.313015534391715
2025-04-21 00:00:00+00:00,0.85,0.15,0.15,84.0325,11.754167,1.7,7.3503356,1.991843705854457,-1.0861779199065502,-1.7445196709260813
2025-04-22 00:00:00+00:00,0.845,0.155,0.155,106.85333333333334,12.418751,0.0,8.243458,15.978039293348,11.682047604964673,-5.384042544426004
2025-04-23 00:00:00+00:00,0.84,0.16,0.16,104.44791666666667,11.0125,3.0,6.5222964,3.8312261416019178,2.6370838275843855,-6.472201883167672
2025-04-24 00:00:00+00:00,0.845,0.155,0.155,93.85125,10.620833,9.200002,12.000551,1.392706094253482,4.2878471853447175,-3.8016333391580392
2025-04-25 00:00:00+00:00,0.85,0.15,0.15,88.41958333333334,11.154167,0.0,9.189532,-2.0682770231150283,-2.2602057186601354,-3.990164965739784
2025-04-26 00:00:00+00:00,0.845,0.155,0.155,60.86083333333334,12.052083,0.0,9.124408,-11.647661010654787,-8.565258996919656,-0.6406112104773487
2025-04-27 00:00:00+00:00,0.84,0.16,0.16,28.235,14.620833,0.0,5.392921,-3.6010677635835986,-5.166141923645517,-2.2537495341742875
2025-04-28 00:00:00+00:00,0.85,0.15,0.15,71.54041666666667,15.520832,0.0,6.6999054,14.077818953031617,11.05680297512286,-4.8422718880204
2025-04-29 00:00:00+00:00,0.835,0.165,0.165,68.80916666666667,17.368752,0.0,8.958581,-2.797934954328418,3.9368774101048443,1.750895073595271
2025-04-30 00:00:00+00:00,0.84,0.16,0.16,74.66791666666667,19.543749,0.0,6.6858635,2.126757859407702,3.0508213142261376,2.671557646297451
