simulation,timestamp_t0,model_used,scenario,branch,terminal_resolution_nuclear,terminal_resolution_ukraine,terminal_abnormal_return,max_drawdown,ret_step1_nuclear,ret_terminal_nuclear,ret_step1_ukraine,ret_terminal_ukraine,idio_path_std
3993,2025-09-25 00:00:00+00:00,VAR,N:0|U:1,N:down->0 | U:down->1,0,1,-0.5458676830452205,-0.7411774904577939,-14.28571428571428,-100.0,-18.181818181818176,1011.1111111111109,37.01914410674721
3994,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:down->0 | U:up->0,0,0,-0.733662824375414,-0.7637437514939354,-14.28571428571428,-100.0,9.090909090909104,-100.0,35.1099152967381
3995,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:up->0 | U:up->0,0,0,-0.8887476601682447,-0.9209622361324613,14.285714285714256,-100.0,9.090909090909104,-100.0,36.17710336806592
3996,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:up->0 | U:down->0,0,0,22.051973983803435,-0.11493764211226543,14.285714285714256,-100.0,-18.181818181818176,-100.0,235.3791305392313
3997,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:down->0 | U:down->0,0,0,-0.5804930171369719,-0.600315278884286,-14.28571428571428,-100.0,-18.181818181818176,-100.0,15.964288817836808
3998,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:down->0 | U:up->0,0,0,7.623919843022929,-0.4639182111678055,-14.28571428571428,-100.0,9.090909090909104,-100.0,249.13518787881029
3999,2025-09-25 00:00:00+00:00,VAR,N:1|U:1,N:down->1 | U:down->1,1,1,-2.256669999504097,-2.944514618085499,-14.28571428571428,1566.6666666666665,-18.181818181818176,1011.1111111111109,249.21704872009056
4000,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:up->0 | U:up->0,0,0,-0.38198390490731304,-0.648697593309522,14.285714285714256,-100.0,9.090909090909104,-100.0,39.80319188329251
4001,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:up->0 | U:down->0,0,0,-1.1765657726646344,-1.045914683170115,14.285714285714256,-100.0,-18.181818181818176,-100.0,134.82291861136733
4002,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:down->0 | U:down->0,0,0,-0.39866811927600887,-0.5835344878581386,-14.28571428571428,-100.0,-18.181818181818176,-100.0,28.382816677066383
4003,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:down->0 | U:up->0,0,0,-0.15238615733202832,-0.6384861294640134,-14.28571428571428,-100.0,9.090909090909104,-100.0,53.115022051240665
