sim_id,terminal_resolution,cum_elec_idio_return_pct,mean_daily_idio_pct,std_daily_idio_pct,max_drawdown_pct
4070,0,27208.71803274593,208.03557764850817,24.1967864318971,0.0
4071,0,34028.44353846248,221.2496460956905,10.200796030747046,0.0
4072,0,37353.13916404735,227.6432958685006,18.69434752365751,0.0
4073,1,32572.769636076464,219.49457899770854,27.98548889039634,0.0
4074,1,41814.62448101384,234.8264500035597,13.35652878540827,0.0
4075,0,34280.97144465205,222.3555460106545,22.73738440745977,0.0
4076,0,30284.556703885748,214.2474866604604,17.953644164587956,0.0
4077,0,36798.91194796336,226.45334387216295,14.043055216539456,0.0
4078,1,40671.67750098892,233.26595877227183,19.0051892525582,0.0
4079,0,43926.22922935984,238.2351833506124,15.7120053293768,0.0
4080,0,36192.31608707344,225.59298423097388,18.50550130114519,0.0
4081,0,36186.91965950157,226.09338712088638,26.228353082165697,0.0
4082,0,36646.36678520919,228.39121394996073,39.54364182561104,0.0
4083,0,31937.69778365326,218.16581240246643,26.866123475994097,0.0
4084,0,35859.13075718615,224.7982581788495,15.088723546698121,0.0
4085,0,37361.92769064416,227.73118565960255,19.80534729460788,0.0
4086,0,53631.64661374718,252.00155034731247,16.87717694281355,0.0
4087,0,44773.96495953384,241.02240491166032,35.95831246640054,0.0
4088,1,42446.9122532561,235.9566884426033,16.362501267023234,0.0
4089,1,48818.231300323314,245.86132320689134,23.454969613462904,0.0
4090,1,33855.00052443379,221.10077225010164,14.61737487422202,0.0
4091,0,39181.45214650766,232.78444026880098,39.50056406259022,0.0
4092,0,40313.907530426804,232.73118747747694,20.291803446467554,0.0
4093,1,42841.47871738654,237.67588180152197,31.31741181688518,0.0
4094,1,52794.43910904505,251.77122782038478,29.793381200654924,0.0
4095,0,40965.024926923645,233.5835725504427,16.130051292696816,0.0
4096,0,39667.606255438724,232.2043272196849,27.307924016664323,0.0
4097,0,38192.001547191336,229.84518835646645,28.6235600092156,0.0
4098,0,45324.30065117591,242.47672375452902,41.27537318303051,0.0
4099,0,40531.82002730166,232.7355006996458,13.028578711404624,0.0
4100,0,40429.75353250197,232.8438516604893,18.690026635067678,0.0
4101,0,38541.99019483842,231.46931596655955,37.23211037543722,0.0
4102,0,34045.53905946497,222.20502474360373,26.171686217723952,0.0
4103,0,39814.84661477167,231.69207482319834,16.0345885802799,0.0
4104,0,42469.08664782465,236.39135747118885,23.14445986856872,0.0
4105,1,38341.168355184825,229.22327304849802,16.302533429498784,0.0
4106,0,28805.743318359033,211.45595412943786,23.261878770955697,0.0
4107,0,36487.024470356795,226.00760312484346,16.884489610653702,0.0
4108,0,32418.895821635055,218.84102878387694,23.03892842826283,0.0
4109,0,30552.8647040049,215.39265664455897,26.488399756156173,0.0
4110,0,38403.21990395539,229.00006894041545,6.961510311218932,0.0
4111,0,38067.28103491141,229.04788944944653,20.94866274588049,0.0
4112,0,52676.10169141577,250.7977097000527,17.990052733180033,0.0
4113,0,36355.932566733674,225.67185345030757,14.200628366452342,0.0
4114,0,46159.73217471625,242.61254547252292,30.5378578574662,0.0
4115,0,35846.5473076538,224.73760465190094,13.976855600181388,0.0
4116,0,40369.11393308865,232.6022416498185,15.963399544761378,0.0
4117,0,32661.304178858314,219.40812981132166,24.28919986583346,0.0
4118,0,36752.06976032762,226.8785561551512,23.133379496348503,0.0
4119,0,37512.68690568984,227.92393132309894,18.29313176113785,0.0
4120,0,42992.04329227369,236.77874531481362,15.555482899483719,0.0
4121,0,43544.74394351657,240.32910889080094,43.6167812666693,0.0
4122,0,37516.83294026983,227.95782392922348,19.255731298628227,0.0
4123,0,38092.9268036822,228.94253983100415,18.82040097170314,0.0
4124,0,48328.76086247678,245.8316415547202,31.84107078777002,0.0
4125,1,52870.809628429575,251.76989284759279,28.03087673087058,0.0
4126,0,33355.289100853704,220.10098300326618,13.72729716552062,0.0
4127,0,40798.90328026699,233.32814401434183,16.43898365419586,0.0
4128,0,37640.862281027556,227.73943188207187,9.039380272670485,0.0
4129,0,36462.61968255834,225.9307957402964,15.973425498239246,0.0
4130,0,44726.56199164723,240.5329168095771,31.2316448848239,0.0
4131,0,38391.52972451709,229.205929457114,13.985060223496339,0.0
4132,0,37243.76972729655,227.01020832075628,7.660236015260507,0.0
4133,0,40254.69286868738,233.92455637945463,35.30426316376793,0.0
4134,0,36436.96120702631,225.83062843683783,14.875523722494771,0.0
4135,1,40291.024859421355,232.3617667619967,13.517847897069073,0.0
4136,0,38573.1980020774,229.42387384704747,11.694322059793109,0.0
4137,0,29227.90164710326,212.2121296479119,20.83650809777693,0.0
4138,0,41353.199588201605,235.10832818092018,28.43484926058206,0.0
4139,0,37538.9360567778,228.06907714306425,20.65457033244424,0.0
4140,0,42545.31557819354,236.07473084667336,15.533374514699307,0.0
4141,0,32416.096537296773,221.12258854612782,44.12314910413678,0.0
4142,1,33149.76462339162,220.5820049577191,27.36141036674679,0.0
4143,0,34746.016705389324,223.35030125882085,24.084881625540177,0.0
4144,0,36283.40570517781,227.46249907205797,36.906319641444945,0.0
4145,0,37762.09890731616,228.382682579632,19.30000162558245,0.0
4146,1,37714.82451949258,228.83940332235466,26.829025530853958,0.0
4147,0,46182.84120432401,242.52651620312673,29.67340532141056,0.0
4148,0,25292.206315314743,204.69262463255754,35.72225009454751,0.0
4149,0,38306.39361294638,229.36980532952066,19.715655337247025,0.0
4150,0,35005.6721034982,223.02774673162594,8.898428124084587,0.0
4151,0,36712.05574353663,226.5713608631729,19.690404588921634,0.0
4152,0,39522.96299933097,231.45355078824545,20.8550814813976,0.0
4153,0,39839.98816157503,231.97814697096356,20.350655066248702,0.0
4154,0,44140.8430375246,238.6260148607602,16.931678609003256,0.0
4155,1,50689.61513935868,249.22665393217827,33.2989270101619,0.0
4156,0,34243.2676422246,222.19769632100878,21.601740780719737,0.0
4157,1,32006.446883344175,217.42982982397757,12.29271762822779,0.0
4158,0,35509.35555837499,224.37240011532504,19.098575148445395,0.0
4159,1,36789.856517784,226.75897217328853,19.98068702601427,0.0
4160,0,45295.971071914406,240.17055622867775,12.487453190243835,0.0
4161,0,36680.89881032405,226.36297154512727,16.69549852181971,0.0
4162,0,45928.70325859228,241.09814675071772,12.115511744814528,0.0
4163,0,46770.786379802914,242.33420439202223,12.013974855451044,0.0
4164,0,50280.09463347891,247.2214551240233,9.271521320146128,0.0
4165,0,33323.46746309638,220.19040168666402,16.661381620381647,0.0
4166,1,40364.104365491025,234.0187646178765,34.98610309351889,0.0
4167,0,40279.68601224148,232.42662755661541,15.367865040236856,0.0
4168,0,35808.52008250189,225.13945073258031,22.432603265732094,0.0
4169,0,39546.89658453753,231.01596012428763,10.1141878318021,0.0
4170,0,53129.26982432332,251.59781025493447,21.38011586304152,0.0
4171,0,40243.74131406365,233.63116189304824,33.30394152676197,0.0
4172,0,39935.42796175223,231.9019313857803,16.24682168157363,0.0
4173,0,40147.74556963261,234.73307557007905,42.32700566361743,0.0
4174,0,36354.35997190207,225.63017278279045,13.54432061123554,0.0
4175,0,41065.03032591346,233.67313154312137,14.426225764309669,0.0
4176,0,32778.46985707657,219.6737826668575,24.93425082847498,0.0
4177,0,41559.81449925275,234.28033665031072,9.181450998974219,0.0
4178,0,51144.03773384138,248.79927214169038,18.77415487488261,0.0
4179,0,40074.973963547,232.07004599273947,14.897594908789392,0.0
4180,0,36614.191248810224,226.36031135945078,18.437466119166114,0.0
